date,code,name,close,ma20,momentum,trend_up,selected
2023-06-02,518880,黄金ETF,4.375,4.3535,-0.91,True,False
2023-06-02,510880,红利ETF,2.568,2.6513,-6.35,False,False
2023-06-02,513500,标普500ETF,1.412,1.3763,6.49,True,True
2023-06-02,513180,恒生科技ETF,0.514,0.5063,0.78,True,True
2023-06-02,510300,沪深300ETF,3.583,3.638,-3.92,False,False
2023-06-09,518880,黄金ETF,4.375,4.3463,0.23,True,False
2023-06-09,510880,红利ETF,2.625,2.6141,-3.03,True,False
2023-06-09,513500,标普500ETF,1.441,1.3986,6.5,True,True
2023-06-09,513180,恒生科技ETF,0.531,0.5105,4.12,True,True
2023-06-09,510300,沪深300ETF,3.564,3.5953,-2.41,False,False
2023-06-16,518880,黄金ETF,4.359,4.3482,0.67,True,False
2023-06-16,510880,红利ETF,2.573,2.5895,-2.98,False,False
2023-06-16,513500,标普500ETF,1.484,1.425,6.46,True,True
2023-06-16,513180,恒生科技ETF,0.569,0.5188,11.13,True,True
2023-06-16,510300,沪深300ETF,3.699,3.5806,0.96,True,False
2023-06-23,518880,黄金ETF,4.356,4.3515,0.09,True,False
2023-06-23,510880,红利ETF,2.492,2.5759,-2.73,False,False
2023-06-23,513500,标普500ETF,1.487,1.4398,7.68,True,True
2023-06-23,513180,恒生科技ETF,0.538,0.5241,6.32,True,True
2023-06-23,510300,沪深300ETF,3.607,3.5832,0.92,True,False
2023-06-30,518880,黄金ETF,4.349,4.3569,-0.37,False,False
2023-06-30,510880,红利ETF,2.522,2.5558,-1.94,False,False
2023-06-30,513500,标普500ETF,1.503,1.4629,7.2,True,True
2023-06-30,513180,恒生科技ETF,0.535,0.5353,10.54,False,False
2023-06-30,510300,沪深300ETF,3.602,3.5912,2.27,True,True
2023-07-07,518880,黄金ETF,4.359,4.3585,-0.09,True,True
2023-07-07,510880,红利ETF,2.543,2.545,-2.45,False,False
2023-07-07,513500,标普500ETF,1.502,1.485,4.31,True,True
2023-07-07,513180,恒生科技ETF,0.535,0.5437,1.71,False,False
2023-07-07,510300,沪深300ETF,3.588,3.6109,2.05,False,False
2023-07-14,518880,黄金ETF,4.388,4.362,0.57,True,False
2023-07-14,510880,红利ETF,2.576,2.5324,0.27,True,False
2023-07-14,513500,标普500ETF,1.513,1.4976,2.51,True,True
2023-07-14,513180,恒生科技ETF,0.569,0.5485,4.21,True,True
2023-07-14,510300,沪深300ETF,3.672,3.6268,2.09,True,False
2023-07-21,518880,黄金ETF,4.453,4.3839,2.23,True,False
2023-07-21,510880,红利ETF,2.562,2.5382,2.81,True,False
2023-07-21,513500,标普500ETF,1.536,1.5108,3.3,True,True
2023-07-21,513180,恒生科技ETF,0.554,0.5488,2.97,True,True
2023-07-21,510300,沪深300ETF,3.61,3.6186,0.08,False,False
2023-07-28,518880,黄金ETF,4.404,4.405,1.26,False,False
2023-07-28,510880,红利ETF,2.67,2.566,5.87,True,True
2023-07-28,513500,标普500ETF,1.534,1.5235,2.06,True,False
2023-07-28,513180,恒生科技ETF,0.604,0.5582,12.9,True,True
2023-07-28,510300,沪深300ETF,3.788,3.6458,5.16,True,False
2023-08-04,518880,黄金ETF,4.401,4.4178,0.96,False,False
2023-08-04,510880,红利ETF,2.66,2.6,4.6,True,False
2023-08-04,513500,标普500ETF,1.526,1.5288,1.6,False,False
2023-08-04,513180,恒生科技ETF,0.608,0.5738,13.64,True,True
2023-08-04,510300,沪深300ETF,3.814,3.6878,6.3,True,True
2023-08-11,518880,黄金ETF,4.415,4.4245,0.62,False,False
2023-08-11,510880,红利ETF,2.596,2.6172,0.78,False,False
2023-08-11,513500,标普500ETF,1.522,1.5335,0.59,False,False
2023-08-11,513180,恒生科技ETF,0.583,0.5841,2.46,False,False
2023-08-11,510300,沪深300ETF,3.67,3.7155,-0.05,False,False
2023-08-18,518880,黄金ETF,4.421,4.42,-0.72,True,True
2023-08-18,510880,红利ETF,2.613,2.629,1.99,False,False
2023-08-18,513500,标普500ETF,1.497,1.5297,-2.54,False,False
2023-08-18,513180,恒生科技ETF,0.556,0.5875,0.36,False,False
2023-08-18,510300,沪深300ETF,3.572,3.713,-1.05,False,False
2023-08-25,518880,黄金ETF,4.448,4.424,1.0,True,True
2023-08-25,510880,红利ETF,2.599,2.6262,-2.66,False,False
2023-08-25,513500,标普500ETF,1.501,1.5225,-2.15,False,False
2023-08-25,513180,恒生科技ETF,0.561,0.5828,-7.12,False,False
2023-08-25,510300,沪深300ETF,3.504,3.6676,-7.5,False,False
2023-09-01,518880,黄金ETF,4.489,4.4393,2.0,True,True
2023-09-01,510880,红利ETF,2.606,2.6115,-2.03,False,False
2023-09-01,513500,标普500ETF,1.544,1.5228,1.18,True,True
2023-09-01,513180,恒生科技ETF,0.58,0.5752,-4.61,True,False
2023-09-01,510300,沪深300ETF,3.582,3.6126,-6.08,False,False
2023-09-08,518880,黄金ETF,4.536,4.465,2.74,True,True
2023-09-08,510880,红利ETF,2.598,2.612,0.08,False,False
2023-09-08,513500,标普500ETF,1.544,1.528,1.45,True,True
2023-09-08,513180,恒生科技ETF,0.559,0.5699,-4.12,False,False
2023-09-08,510300,沪深300ETF,3.529,3.572,-3.84,False,False
2023-09-15,518880,黄金ETF,4.548,4.4976,2.87,True,True
2023-09-15,510880,红利ETF,2.669,2.6198,2.14,True,False
2023-09-15,513500,标普500ETF,1.548,1.5325,3.41,True,True
2023-09-15,513180,恒生科技ETF,0.562,0.5672,1.08,False,False
2023-09-15,510300,沪深300ETF,3.507,3.5512,-1.82,False,False
2023-09-22,518880,黄金ETF,4.561,4.5268,2.54,True,True
2023-09-22,510880,红利ETF,2.695,2.6417,3.69,True,True
2023-09-22,513500,标普500ETF,1.493,1.5344,-0.53,False,False
2023-09-22,513180,恒生科技ETF,0.548,0.5646,-2.32,False,False
2023-09-22,510300,沪深300ETF,3.537,3.5494,0.94,False,False
2023-09-29,518880,黄金ETF,4.436,4.538,-1.29,False,False
2023-09-29,510880,红利ETF,2.661,2.6527,3.22,True,True
2023-09-29,513500,标普500ETF,1.471,1.5236,-5.28,False,False
2023-09-29,513180,恒生科技ETF,0.523,0.555,-9.2,False,False
2023-09-29,510300,沪深300ETF,3.484,3.5347,-2.11,False,False
2023-10-06,518880,黄金ETF,4.436,4.538,-1.29,False,False
2023-10-06,510880,红利ETF,2.661,2.6527,3.22,True,True
2023-10-06,513500,标普500ETF,1.471,1.5236,-5.28,False,False
2023-10-06,513180,恒生科技ETF,0.523,0.555,-9.2,False,False
2023-10-06,510300,沪深300ETF,3.484,3.5347,-2.11,False,False
2023-10-13,518880,黄金ETF,4.405,4.5076,-2.2,False,False
2023-10-13,510880,红利ETF,2.64,2.6556,0.88,False,False
2023-10-13,513500,标普500ETF,1.497,1.5108,-2.48,False,False
2023-10-13,513180,恒生科技ETF,0.538,0.5453,-4.95,False,False
2023-10-13,510300,沪深300ETF,3.456,3.5015,-2.65,False,False
2023-10-20,518880,黄金ETF,4.597,4.4991,0.11,True,True
2023-10-20,510880,红利ETF,2.564,2.6541,-3.86,False,False
2023-10-20,513500,标普500ETF,1.467,1.4994,-4.55,False,False
2023-10-20,513180,恒生科技ETF,0.509,0.5351,-9.11,False,False
2023-10-20,510300,沪深300ETF,3.302,3.4598,-6.3,False,False
2023-10-27,518880,黄金ETF,4.599,4.5035,0.41,True,True
2023-10-27,510880,红利ETF,2.599,2.6261,-3.06,False,False
2023-10-27,513500,标普500ETF,1.433,1.4786,-5.22,False,False
2023-10-27,513180,恒生科技ETF,0.525,0.5257,-1.13,False,False
2023-10-27,510300,沪深300ETF,3.356,3.4088,-3.06,False,False
2023-11-03,518880,黄金ETF,4.61,4.5229,3.92,True,True
2023-11-03,510880,红利ETF,2.558,2.5977,-3.87,False,False
2023-11-03,513500,标普500ETF,1.486,1.4707,1.02,True,False
2023-11-03,513180,恒生科技ETF,0.541,0.524,3.44,True,True
2023-11-03,510300,沪深300ETF,3.373,3.3738,-3.19,False,False
2023-11-10,518880,黄金ETF,4.554,4.5669,3.38,False,False
2023-11-10,510880,红利ETF,2.557,2.5755,-3.14,False,False
2023-11-10,513500,标普500ETF,1.493,1.4714,-0.27,True,True
2023-11-10,513180,恒生科技ETF,0.537,0.5268,-0.19,True,True
2023-11-10,510300,沪深300ETF,3.375,3.358,-2.34,True,False
2023-11-17,518880,黄金ETF,4.572,4.5767,-0.54,False,False
2023-11-17,510880,红利ETF,2.553,2.5602,-0.43,False,False
2023-11-17,513500,标普500ETF,1.54,1.481,4.98,True,True
2023-11-17,513180,恒生科技ETF,0.546,0.5345,7.27,True,True
2023-11-17,510300,沪深300ETF,3.354,3.3576,1.57,False,False
2023-11-24,518880,黄金ETF,4.499,4.5586,-2.17,False,False
2023-11-24,510880,红利ETF,2.593,2.5612,-0.23,True,False
2023-11-24,513500,标普500ETF,1.535,1.5018,7.12,True,True
2023-11-24,513180,恒生科技ETF,0.545,0.5438,3.81,True,True
2023-11-24,510300,沪深300ETF,3.325,3.3706,-0.92,False,False
2023-12-01,518880,黄金ETF,4.589,4.5496,-0.46,True,False
2023-12-01,510880,红利ETF,2.586,2.5646,1.09,True,True
2023-12-01,513500,标普500ETF,1.539,1.5226,3.57,True,True
2023-12-01,513180,恒生科技ETF,0.521,0.5452,-3.7,False,False
2023-12-01,510300,沪深300ETF,3.268,3.3515,-3.11,False,False
2023-12-08,518880,黄金ETF,4.591,4.5593,0.81,True,True
