date,nav,position
2023-05-12,100000.0,现金
2023-05-19,100000.0,现金
2023-05-26,100000.0,现金
2023-06-02,99184.61518,"标普500ETF(50%), 恒生科技ETF(50%)"
2023-06-09,101846.21518,"标普500ETF(50%), 恒生科技ETF(50%)"
2023-06-16,107036.21518,"恒生科技ETF(50%), 标普500ETF(50%)"
2023-06-23,104127.41518000001,"标普500ETF(50%), 恒生科技ETF(50%)"
2023-06-30,104330.19838,"标普500ETF(50%), 沪深300ETF(50%)"
2023-07-07,104189.61507500001,"标普500ETF(50%), 黄金ETF(50%)"
2023-07-14,104957.275355,"恒生科技ETF(50%), 标普500ETF(50%)"
2023-07-21,105757.67535500001,"标普500ETF(50%), 恒生科技ETF(50%)"
2023-07-28,103648.21683500003,"恒生科技ETF(50%), 红利ETF(50%)"
2023-08-04,103874.26615500003,"恒生科技ETF(50%), 沪深300ETF(50%)"
2023-08-11,97992.06845500003,现金
2023-08-18,97911.10289500005,黄金ETF(100%)
2023-08-25,98507.80289500004,黄金ETF(100%)
2023-09-01,99413.90289500004,"黄金ETF(50%), 标普500ETF(50%)"
2023-09-08,100452.60289500003,"黄金ETF(50%), 标普500ETF(50%)"
2023-09-15,100717.80289500004,"标普500ETF(50%), 黄金ETF(50%)"
2023-09-22,101005.10289500005,"红利ETF(50%), 黄金ETF(50%)"
2023-09-29,97388.22352500005,红利ETF(100%)
2023-10-06,97300.64360000005,红利ETF(100%)
2023-10-13,96519.68960000006,现金
2023-10-20,97032.71922000007,黄金ETF(100%)
2023-10-27,97074.91922000007,黄金ETF(100%)
2023-11-03,97307.01922000006,"黄金ETF(50%), 恒生科技ETF(50%)"
2023-11-10,94876.60193000005,"恒生科技ETF(50%), 标普500ETF(50%)"
2023-11-17,95673.10193000005,"恒生科技ETF(50%), 标普500ETF(50%)"
2023-11-24,95584.60193000005,"标普500ETF(50%), 恒生科技ETF(50%)"
2023-12-01,92939.61757000005,"标普500ETF(50%), 红利ETF(50%)"
